nro_conabip,id_departamento,año_fundacion,mail
3692,6098,1995,pascualruberto@hotmail.com
93,6105,1911,bib_rivadavia@yahoo.com.ar
1478,6105,1926,cultural_07@yahoo.com.ar
1769,6105,1933,bpurdampilleta@yahoo.com.ar
2191,6112,1943,bbelgrano@yahoo.com.ar
2135,6021,1940,bpjimechita@live.com.ar
4142,6112,1980,bpjiwarnes@yahoo.com.ar
4166,6119,1980,gallardosandra@hotmail.com
3468,6126,1992,bibliotecatraverso@yahoo.com.ar
1266,6134,1927,bibliotecapopulardfsarmiento@hotmail.com
3900,6134,1980,sanestebanbibliotecapopular@yahoo.com.ar <SANESTEBANBIBLIOTECAPOPULAR@YAHOO.COM.AR>
1002,6140,1923,bpalmafuerte@hotmail.com
2861,6147,1963,biblioingenieros@gmail.com
4289,6147,2009,biblioellibroalegre@hotmail.com.ar
268,6154,1916,bibliotejedor@yahoo.com.ar
258,6154,1920,sanjose@servicoopsa.com.ar
270,6161,1914,bibliocada@yahoo.com.ar
2264,6168,1940,biblicast@yahoo.com.ar
3038,6217,1982,biblovillalujan@hotmail.com
3189,6217,1986,biblioteka_jso@yahoo.com
3631,6217,1994,labiblioamb@hotmail.com
3890,6217,1997,bibliotecaipora2000@yahoo.com.ar
4334,6182,2002,bibliomercedesdesanmartin@gmail.com
3483,6189,1982,biblioelperdido@gmail.com
1347,6189,1928,biblioameghino@altisa.com.ar
101,6203,1915,bibliotecasarmiento_2000@yahoo.com.ar
3591,6203,1991,glabuscfliawach@gmail.com
3894,6203,1969,bibliotecapopularhuanguelen@gmail.com
1770,6182,1933,bibjbalberdi@gmail.com
3364,6182,1980,nancy_flo@hotmail.com
4065,6245,1980,anamzanoni@yahoo.com.ar
1673,6252,1932,bp20dediciembre@gmail.com
861,6252,1929,alberdibiblio@yahoo.com.ar
2843,6260,1964,bibliotecaameghino@gmail.com
4357,6270,1993,bibliotecaeltrebol@gmail.com
2810,6270,1959,bpdfsts@yahoo.com.ar
123,6274,1920,bibliotecasarmiento_varela@yahoo.com.ar
3158,6274,1985,almafuertebib@yahoo.com.ar
3499,6274,1980,arravera@hotmail.com
3926,6274,1980,bibliotecahugodelcarril@gmail.com
4051,6274,1980,bibliostomas@yahoo.com.ar
4242,6274,2004,bpdemuro@live.com.ar
4170,6274,1980,bibliotecaflorenciosanchez@yahoo.com.ar
3518,6280,1976,biblioteca_miramar@yahoo.com.ar
131,6287,1915,bibliofbalcarce@yahoo.com.ar
2914,6322,1944,nesoa_07@yahoo.com.ar
3292,6336,1974,bibliotecaglavalle@hotmail.com
3633,6351,1996,bibliogranada@yahoo.com.ar
3922,6351,2000,bibliotecapopularjuan23@hotmail.com
2501,6385,1939,bibpopmm_lostoldos@yahoo.com.ar
3724,6392,1961,bibliob@yahoo.com.ar
3196,6392,1991,biblio@cseca.com.ar
3194,6392,1935,biblio@servicoopsa.com.ar
3197,6392,1979,blynch@servicoopsa.com.ar
3339,6392,1991,biblioteca_fortingainza09@hotmail.com
3715,6399,1980,bibliojh97@yahoo.com.ar
4069,6399,2000,bparditirocha@hotmail.com
4177,6399,1980,bpaliciatmorales_garre@yahoo.com.ar
1248,6406,1922,bibliopopalmafuerte@yahoo.com.ar
3621,6408,1980,biblioapalacios@yahoo.com.ar
4002,6410,2000,bibliotecalatradicion@yahoo.com.ar
1809,6413,1933,biblioteca9dejulio@gmail.com
1874,6413,1929,armando_de_miguel@hotmail.com
4389,6413,2022,piosoberanobibliotecapopular@gmail.com
3696,6420,1985,biblo093@yahoo.com.ar
3574,6420,1992,bibliotecamardeltuyu@yahoo.com.ar
4368,6420,2005,bibliotecasobral@yahoo.com.ar
4125,6420,1980,bib-arocha@educar
3128,6420,1980,ctc0057@hotmail.com
4299,6427,1976,bibliotecamflara@hotmail.com
3293,6427,1980,fundaciondeliacdea@gmail.com
4182,6427,1980,bibliotecapopularrotaria@yahoo.com.ar
4010,6427,1998,amigosdelatablada@yahoo.com.ar
4228,6427,1980,biblioteca_alma@hotmail.com
3921,6427,2000,bptinkunaku@yahoo.com.ar
3203,6427,1993,bibalma@yahoo.com.ar
3762,6427,1999,biblioteca303@yahoo.com.ar
4338,6427,2003,bibliotecapopularimagen121@gmail.com
1880,6427,1930,bibliomoreno@yahoo.com.ar
4041,6427,1999,biblioteca308@yahoo.com.ar
2585,6441,1936,bibliofameghino@yahoo.com.ar
165,6441,1918,bibliotecaalborada@yahoo.com
2069,6441,1936,bibliotecapopularsanmartin@hotmail.com
2098,6441,1929,bibliotecameridianov@hotmail.com
2127,6441,1941,bprepetto@gmail.com
2323,6441,1945,bibliotecafameghino@hotmail.com
2436,6441,1944,bibliojuanvucetich@gmail.com
3717,6441,1980,bib.homeromanzi@gmail.com
3877,6441,1993,biblioteca_elizalde@yahoo.com.ar
3954,6441,1980,casadeltango_lp@hotmail.com.ar
4140,6441,2001,bibliopcarlosbormida@yahoo.com.ar
4171,6441,1980,ongenlazandopalabras@hotmail.com
4288,6441,2011,delotroladodelarbol@hotmail.com
4376,6441,2007,lagrietaylachicharra@gmail.com
2271,6441,1933,cfloshornos@yahoo.com.ar
3211,6441,1980,biblioharosteguy@yahoo.com.ar
1920,6441,1936,bibpopmarianomoreno@hotmail.com
4066,6441,1999,bibliotecatupacamaru@yahoo.com.ar
3431,6434,1980,bibliopopameghino@hotmail.com
4135,6434,1980,bibliotecapopularmontechingolo@gmail.com
2676,6434,1919,balberdiescalada@gmail.com
2767,6434,1955,bibliotecabarriocanal@yahoo.com.ar
3828,6434,1930,roxanacaterbetti42@hotmail.com
294,6434,1918,bibliotecasarmiento@yahoo.com.ar
1706,6434,1914,bibprimerodemayo@hotmail.com
2134,6448,1940,bplaprida@yahoo.com.ar
87,6462,1916,bibliotecapopular@live.com.ar
3153,6462,1988,nuevabibliomatienzo@hotmail.com
2872,6462,1961,bibvedia@yahoo.com.ar
1684,6469,1932,bibliobayauca@hotmail.com
2729,6469,1958,bibliosalas@yahoo.com.ar
3622,6476,1993,bibliopopularsanmanuel@gmail.com
175,6483,1912,ccplbsarmiento@yahoo.com.ar
1193,6483,1902,bibliocapponi@yahoo.com.ar
4196,6490,1980,bipopu_argentinos07@yahoo.com.ar
173,6490,1900,bibliotecamentruytespectaculos@gmail.com
4115,6490,2002,bibjuliocortazar@yahoo.com.ar
4121,6490,2003,bibliotecapopulardelaciudad@gmail.com
2401,6490,1980,bibliolonghi@hotmail.com
3754,6490,1980,bibliotecasanjose2000@yahoo.com.ar
4008,6490,2000,bibliotecapopular_sanjuan@hotmail.com
4340,6497,2001,lecturaenck@gmail.com
168,6497,1914,salonesbibliotecaameghino@gmail.com
1257,6497,1926,bibliotecaopendoor@hotmail.com
4219,6505,2008,bpegirardengo@gmail.com
2931,6515,1975,bibwcm@yahoo.com.ar
3668,6515,1998,monbe3@hotmail.com
3785,6515,1998,bibliotecapolvorines@gmail.com
4241,6518,1977,bibliotecadepiran@yahoo.com.ar
1998,6525,1936,bibliopop.gsm@gmail.com
3999,6539,2000,info@bibliotecaguiraldes.com.ar
2662,6547,1950,bp_manuelbelgrano@hotmail.com
2673,6560,1954,bibliotecambon@live.com.ar
4336,6560,2008,bibliotkalmafuerte@gmail.com
4134,6560,1980,bibliotecasanjoseobrero@gmail.com
2243,6560,1916,biblioteca@cbmm.com.ar
3248,6560,1980,bphoracioquiroga@hotmail.com
2804,6560,1958,bibliopop.pasodelrey@hotmail.es
2324,6560,1945,bibliogiuffra@hotmail.com
4040,6560,2001,bibliotecajauretche@yahoo.com.ar
4274,6560,1999,biblioparlantesur@hotmail.com
3901,6568,1997,biblioteca_jsgaviota@hotmail.com
3885,6574,1980,biblioalma@yahoo.com.ar
195,6574,1907,biberenchu@copesnet.com.ar
1309,6581,1926,joseestrada@arnet.com.ar.
3552,6581,1980,biblioquequen@hotmail.com
201,6595,1904,bibliotecaferroviaria@hotmail.com
3652,6595,1996,biblioteca_amoroso@yahoo.com.ar
3811,6595,1998,biblioindependencia@hotmail.com
2371,6595,1948,bibliotecasb@yahoo.com.ar
4384,6595,2021,delotroladodelarbolenolavarria@gmail.com
1246,6602,1927,bibpopcervantes@yahoo.com.ar
2646,6609,1952,bibliotecamadero@live.com.ar
215,6609,1910,bibrivadavia@gmail.com
3255,6609,1993,biblioteca3255@yahoo.com.ar
1743,6623,1926,bibliomo@hotmail.com
213,6623,1900,bibliotecamenendez@yahoo.com.ar
3966,6638,2002,bibliopuma@yahoo.com.ar
4250,6638,2007,marianoadot6@yahoo.com.ar
4366,6638,2001,bibliotecamanzanares@hotmail.com
898,6638,1922,bibliotecapilar@yahoo.com.ar
4344,6638,2008,biblioteca.palabrasdelalma@gmail.com
2887,6644,1970,biblioteca@telpin.com.ar
3968,6651,1990,casadelacultura2002@yahoo.com.ar
4222,6651,1988,bibliotecapopularsur@yahoo.com.ar
3984,6091,1980,bibliotecafundaterra@yahoo.com.ar
2090,6658,1972,bibbosco@hotmail.com
3752,6658,1998,bastorni@yahoo.com.ar
2788,6658,1959,bibliotecapopularpedrogoyena@yahoo.com.ar
3969,6658,2000,bibliotecapopularcooperarios@yahoo.com.ar
4156,6658,1980,bibliotecajmvilaseca@gmail.com
4311,6658,2011,delriobiblioteca@yahoo.com.ar
3157,6665,1995,bibliozampa@hotmail.com
221,6672,1920,bibliotecapopulargsrauch@gmail.com
4205,6672,2001,bibliotecaevaperon.rauch@yahoo.com.ar
3697,6679,1980,bibliomunicipal.rivadavia@gmail.com
2341,6693,1946,giseafrica@yahoo.com.ar
210,6700,1914,bib.sarmiento.pigue@gmail.com
236,6700,1916,biblioteca_jbalberdi@yahoo.com.ar
4127,6714,1980,renacer465adulce@hotmail.com.ar
230,6735,2006,rot14@hotmail.com
2815,6735,1957,bmarianomoreno@yahoo.com.ar
2022,6749,1939,bpromulonaon@gmail.com
4188,6756,1980,bpcavajoven@yahoo.com.ar
287,6371,1914,bibliopopsanmartin2001@yahoo.com.ar
4175,6371,1980,biblosnuevoser@hotmail.com
1242,6371,1927,bpalberdi@gmail.com
2830,6371,1964,bibliopombo@gmail.com
4178,6371,1980,humbertobielli@hotmail.com
1178,6371,1925,bibliotecarivadavia@yahoo.es
3473,6371,1945,chapmaris@hotmail.com
3994,6371,2000,bibliorioplatense@hotmail.com
4073,6371,1980,bibliomurillo@yahoo.com.ar
3644,6760,1996,bphmunzon@hotmail.com
3658,6760,1995,bibliotecaentretodos@yahoo.com.ar
4212,6760,1980,bpelfaro@gmail.com
125,6760,1913,bibliotecadfs@hotmail.com
4116,6763,2000,bibdelcarmen709@gmail.com
1228,6770,1927,bibliotecadfsarmiento@gmail.com
997,6778,1923,bpsarkorn@yahoo.com.ar
1502,6784,1930,bibliotecaymuseo@yahoo.com.ar
4367,6791,2011,biblioviejaescuela@gmail.com
238,6791,1916,bibliotecajbalberdi@yahoo.com.ar
240,6791,1908,bpbrtandil@hotmail.com
3001,6791,1980,bibliotecasarmiento1940@yahoo.com.ar
3010,6791,1978,biblioteca_valor@hotmail.com
3075,6791,1984,tcdehesa@yahoo.com.ar
3802,6791,1998,bpalbarracin@yahoo.com.ar
3906,6791,1999,bibliotecaghezzi@gmail.com
3173,6798,1980,biblio@tapalque.mun.gba.gov.ar
3050,6805,1985,biblios@netben.com.ar
3689,6805,1993,bpjingenieros@hotmail.com
4005,6805,1980,bibliotecammoreno@hotmail.com
3318,6805,1992,bibliotecaeltalar@yahoo.com.ar
4216,6805,2003,bibliotroncos@yahoo.com.ar
4292,6805,2008,comunitariocaraguata@yahoo.com.ar
4352,6805,2014,bpseamoslibres@yahoo.com
3262,6819,1980,bibliotecasaldungaray@gmail.com
3296,6819,1993,labibliomoreno@gmail.com
966,6819,1917,bibliotecatornquist@yahoo.com.ar
4120,6819,2001,bpmacedonio@gmail.com
244,6826,1903,bibliotecarivadavia_tl@yahoo.com.ar
3837,6833,1971,bibliohoussay@yahoo.com.ar
4017,6833,1935,biblioluzycultura@hotmail.com
1299,6833,1927,catriel_h@hotmail.com
3383,6833,1994,biblioretaunmuli@3net.com.ar
3267,6833,1993,bibsanfrabe@yahoo.com.ar
1388,6833,1930,marialemorcillo@gmail.com
4221,6833,1980,bibliotecalatranquera@hotmail.com
4348,6833,2006,bibliotecahdelgiorgio@gmail.com
115,6840,1914,bpalberdi@yahoo.com.ar
1028,6840,1921,lamitredecaseros@gmail.com
2275,6840,1944,bibitalar@hotmail.com
3727,6840,1997,biblo15deagosto@hotmail.com
4193,6840,1946,bibpopsanmartin@gmail.com
2711,6840,1925,biblioteca_jose_ingenieros@yahoo.com.ar
860,6840,1920,bpmoreno@hotmail.com
1191,6840,1926,biblioalmafuerte@hotmail.com
4129,6861,1980,bibliotecapopulararandu@hotmail.com
4210,6861,2008,bpsudestada@yahoo.com.ar
3830,6861,1958,bibliotecapopularbdelom@yahoo.com.ar
3254,6875,1982,bibliotecaascasubi2019@gmail.com
2040,6875,1939,bbcamitre@yahoo.com.ar
914,6882,1922,cpcultura@hotmail.com
730,10042,1980,bibliochum@yahoo.com.ar
2958,10063,1965,bibpop-lacarrera@yahoo.com.ar
2991,10063,1979,bibliotecaesquiu2991@yahoo.com.ar
3469,10098,1980,bibliotecapopularfranco@hotmail.com
3654,10098,1997,bibliotecasantarosa@yahoo.com.ar
2967,10112,1980,bibliotecapopularsumalao@hotmail.com
3310,22039,1981,biblpoparc@yahoo.com.ar
3389,22168,1995,gladysf_cajcepn7@yahoo.com.ar
3344,22105,1980,biblioteca-eet5@hotmail.com
3409,22105,1974,bibliovigil21@gmail.com
3507,22105,1991,fanischlegel@hotmail.com
4105,22014,2004,bibliotecalaleonesa@yahoo.com.ar
3465,22028,1966,bibliotecapueyrredon@gmail.com
3003,22021,1980,bibliotecapibernus@hotmail.com
3004,22049,1980,josealumnibp72@gmail.com
3548,22056,1980,bibliotecaaguado_lv@hotmail.com
3456,22056,1980,bcajaimehomar@yahoo.com.ar
2907,22063,1980,bcapopularcastellichaco@yahoo.com.ar
2297,22084,1945,bibciervopetiso@yahoo.com.ar
3457,22084,1980,bibliotecatuckey@live.com.ar
3459,22084,1980,bibnoronha@yahoo.com.ar
3673,22084,1980,bibliotecabp136@hotmail.com.ar
3439,22098,1960,3439bp@gmail.com
3458,22098,1976,anexo@vai.com.ar
3492,22112,1975,bib_cervantes@yahoo.com.ar
3353,22119,1967,bib_pop_estrada_plaza@hotmail.com
3582,22133,1960,bibliotecafontana@gmail.com
3674,22133,1980,andolfibiblioteca@hotmail.com
783,22140,1980,bibliommoreno@hotmail.com
3450,22140,1980,bib.juanramonlestani@hotmail.com
4313,22140,1981,bibliotecamalvinas@hotmail.com
992,22140,1923,bipisarello@yahoo.com.ar
3005,22140,1972,delcentenario1@hotmail.com
779,22140,1909,biblio80rivadavia@yahoo.com.ar
2198,22140,1942,bcalynch50@yahoo.com.ar
2608,22140,1951,bibliotecaremediosdeescalada@yahoo.com.ar
2686,22140,1925,bibliotecabelgrano@gmail.com
2692,22140,1955,bib.herrera2692@hotmail.com
3009,22140,1972,bepcgc@yahoo.com.ar
3148,22140,1986,nuestrabiblio@hotmail.com
3281,22140,1980,bibliotecapopulartorres@yahoo.com.ar
3345,22140,1975,biblioguasti@yahoo.com.ar
3349,22140,1961,bibpopesas@hotmail.com
3418,22140,1961,bibliotecaurdapilleta@hotmail.com.ar
3432,22140,1970,bibpopbrumana@hotmail.com
3437,22140,1980,biblioprin@yahoo.com.ar
3446,22140,1980,bibliope_bartolomemitre@hotmail.com
3453,22140,1987,popularevita2012@yahoo.com.ar
3477,22140,1991,bcaperon@yahoo.com.ar
3534,22140,1984,bca_alfredoveirave@hotmail.com
3535,22140,1970,bibliotecabarzana@hotmail.com
3543,22140,1961,bibliobligado@hotmail.com
2185,22147,1943,biblioteca113@yahoo.com.ar
3460,22154,1981,meduc.bibws@ecomchaco.com.ar
3549,22154,1971,domingocapozzolo@yahoo.es
3000,22154,1975,bibricardoguiraldes@yahoo.com.ar 
4259,26007,2008,bibliotecachubutparatodos@hotmail.com
4339,26007,2011,bibliotecaraulalfonsinmadryn@hotmail.com
3277,26007,1980,bibliotecacobo@gmail.com
3959,26014,1980,bibliotecarucaraquizuam@hotmail.com.ar
4306,26014,2011,bpelblanco@hotmail.com
4047,26014,2001,bibrincon@gmail.com
3821,26014,1993,bibliotecapopularelmaiten@gmail.com
3037,26014,1980,biblagopuelo@yahoo.com.ar
3506,26021,1980,bcapoptroncoso@hotmail.com
3899,26021,1996,ledmuriel@yahoo.com
4331,26021,2007,hola@labibliotecadeastra.com
4249,26035,2007,bibliotecatolkeyen@yahoo.com.ar
3041,26042,1939,bibliopopberwyn@gmail.com
3378,26077,1980,karinaovelar@hotmail.com
4143,26077,1980,biblioteca_simon@hotmail.com
1819,26077,1934,bpaatw@gmail.com
3080,26077,1984,bibpopfcoguerra84@hotmail.com
3632,26077,1980,bibloprogreso4@hotmail.com
3732,26077,1998,bp.benedictoterrone@gmail.com
3835,26077,1996,bpkim-hue@hotmail.com
2551,26091,1911,biblioteca2551@yahoo.com.ar
2453,26098,1949,clara_petachi@hotmail.com
4252,2000,2004,tesis11@tesis11.org.ar
1344,2000,1928,trjgonzalez@outlook.com
1843,2000,1980,bibliotecabelisarioroldan@yahoo.com.ar
4266,2000,2005,bplamemoria@gmail.com
4268,2000,2010,bibliopopuche@hotmail.com.ar
4295,2000,2009,bibliotecapopularmanuelugarte@gmail.com
4341,2000,2010,biblio.26dejulio@gmail.com
947,2000,1918,bpcienciaylabor@gmail.com
1131,2000,1907,bibliomorris@hotmail.com
1187,2000,1920,bibliotecapueyrredonsud@gmail.com
1351,2000,1928,susanapariani@hotmail.com
1375,2000,1915,bibliotecabecciu@gmail.com
1943,2000,1924,bibliotecabrivadavia@yahoo.com.ar
2014,2000,1936,bibliotecanazar@yahoo.com.ar
2111,2000,1980,centroproteccion@latinmail.com
2177,2000,1980,bibliotecapopularmarianoboedo@yahoo.com.ar
2233,2000,1929,asocvecvilladelparque@hotmail.com
2558,2000,1950,asociacionalvear@yahoo.com.ar
2916,2000,1941,bibazarolagil@hotmail.com
2994,2000,1932,bibliotecarebagliati@yahoo.com.ar
3019,2000,1933,bibliobocajuniors@yahoo.com.ar
4034,2000,2001,bibliotecapopularpiedrabuena@gmail.com
4197,2000,1980,bpflacroze@gmail.com
4207,2000,1980,carlossanchezviamonte@yahoo.com.ar
18,2000,1916,asociacionroffo@yahoo.com.ar
19,2000,1910,popular12deoctubre@hotmail.com
28,2000,1916,bibliotecapueyrredon@hotmail.com
32,2000,1910,bibliotecapopularalberdi@yahoo.com.ar
78,2000,1917,bibliotecajerodo@yahoo.com.ar
3904,14007,2000,bibliopopularf.enrique@hotmail.com
4346,14007,2011,bibliotecapopularlosreartes@gmail.com
3769,14007,1998,biblio.vgb@gmail.com
3645,14007,1998,bibliotecarojas@yahoo.com.ar
870,14014,1911,biblialberdi@yahoo.com.ar
2257,14014,1944,bibliotecatejeda@hotmail.com
2776,14014,1959,biblioteca_lac@hotmail.com
3042,14014,1980,bibliotecamalvinasargentinas@hotmail.com
3127,14014,1980,nuevabibliomatienzo@hotmail.com
3572,14014,1986,bibliotecapopularhugowast@yahoo.com.ar
3707,14014,1995,bpra3707@gmail.com
3845,14014,1999,biblioalfonsinastorni@gmail.com
3905,14014,1990,bibpopmijardin@gmail.com
4028,14014,1980,bpatahualpa@hotmail.com
4243,14014,1980,bibliotecacortazarcba@yahoo.com.ar
4245,14014,2005,bibpopmsaleme@yahoo.com.ar
4286,14014,2007,bibliotecapopularlibertad@yahoo.com.ar
4309,14014,2007,bibliopopmadretc@yahoo.com.ar
4322,14014,2010,bpbinaudi@gmail.com
4351,14014,2012,bibliotecacasadelpueblo@gmail.com
1659,14021,1932,bibliotecapopularlabicicleta@gmail.com
4290,14021,2010,bping.dumesnil@hotmail.com
4383,14021,2009,sayanacentroculturaleltalar@hotmail.com
4203,14021,1980,bibliotecaragonking@yahoo.com.ar
4277,14021,2009,bibliocawana@gmail.com
4037,14035,1984,bpdelcampillo@delcampillocoop.com.ar
545,14035,1919,b.sarmiento@hotmail.com
2021,14035,1937,bpjovita@jovitacoop.com.ar
4398,14035,2022,bibliotecavillavaleria@gmail.com
3723,14042,1980,bpjhernandez@hotmail.com
567,14042,1904,secretaria_gral@bibliotecarivadavia.edu.ar
2406,14042,1942,biblioteca.marianomoreno@villamaria.gob.ar
3691,14042,1997,biblioteca_altamira@hotmail.com
1403,14049,1929,bibliotecamm2013@gmail.com
1872,14049,1933,bjingenieros@intinet.com.ar
3595,14056,1997,bibliopopcarnerillo@yahoo.com.ar
2615,14056,1951,bibpopjlc@yahoo.com.ar
2321,14063,1918,bibliotecacdb@yahoo.com
3593,14063,1980,bipop3593@hotmail.com
3592,14063,1980,bibliotecapopularlidiacesanelli@yahoo.com.ar
1758,14063,1917,juanbenitzbiblioteca@gmail.com
544,14084,1914,bibliotecaflorentinoameghino@hotmail.com
2330,14091,1946,bp2330@bepe.ar
4016,14091,2000,bibliotecajhernandez@tutopia.com
1867,14091,1934,bibliotecapopularsarmiento@yahoo.com.ar
3629,14091,1997,blugones@gmail.com
3568,14098,1980,bpbischoff@hotmail.com
2866,14098,1969,bibliotecarrojas@hotmail.com
1756,14098,1929,bibatelleria@hotmail.com
3011,14098,1966,biblioasuncion@hotmail.com
1500,14098,1930,juanbalberdi1500@yahoo.com.ar
588,14098,1915,bibliosarmiento1915@yahoo.com.ar
3015,14098,1970,bibliotecasscc@hotmail.com
4097,14098,1980,bpscoronel@yahoo.com.ar
3729,14098,1980,gracielavaia@hotmail.com
4312,14021,2006,bpjlborgeslapuerta@hotmail.com
4244,14105,2006,biblio_alejocg@hotmail.com
2534,14119,1950,bpsmo@yahoo.com.ar
3586,14119,1996,bpguerbe@hotmail.com
3620,14126,1996,info@ordendelcolmenar.com.ar
4395,14126,2011,bibliotecaelmanantialcb@gmail.com
3983,14133,1980,bibliohornillos@yahoo.com.ar
4294,14133,2010,bibliotecapopulardeluyaba@yahoo.com.ar
4213,14133,1980,bibliotecapopularvilladelasrosas@yahoo.com.ar
4145,14140,1980,biblioalicia16@yahoo.com.ar
3990,14140,1990,adriflores71@hotmail.com
3853,14140,1998,bivignaud536@hotmail.com
1824,14140,1934,bibliotecapopularjifreyre@gmail.com
3931,14140,1995,fernandoercole@hotmail.com
581,14140,1918,bisarlasvarillas@gmail.com
2360,14140,1945,clubalmafuertelv970@gmail.com
560,14140,1926,bibliotecapopularycc@gmail.com
3997,14140,1980,bpmarianomoreno@yahoo.com.ar
1541,14147,1931,bibliotecapopular4@gmail.com
1647,14147,1932,labpdealtagracia@gmail.com
4392,14147,2022,bpgarabatos@gmail.com
4101,14147,1980,bibliotecaarnalponti@yahoo.com.ar
4362,14147,2016,bplaurdimbre@gmail.com
3763,14147,1998,pizzurno10@hotmail.com
4019,14091,2001,bibliotecahg@gmail.com
4126,14098,1980,bibliomanuelamedina@yahoo.com.ar
4042,14119,2001,bibliorayuela@yahoo.com.ar
3520,14161,1996,bibpopjamescraik@hotmail.com
3596,14161,1997,biblioppmfierrolp@hotmail.com
2936,14161,1976,bibliotecatancacha@hotmail.com
528,14182,1907,bprjcarcano@yahoo.com.ar
2737,14182,1947,malambo_laborde@yahoo.com.ar
586,14182,1917,bibliommm@yahoo.com.ar
4218,14182,1980,m10ruben@hotmail.com
1837,14182,1931,atleticopascanas@yahoo.com.ar
2203,14182,1943,biblio_we@hotmail.com
495,18021,1980,biblioctesmagda@hotmail.com
1078,18021,1923,bpjcontte1078@yahoo.com.ar
3298,18021,1980,librosabato@yahoo.com.ar
3317,18021,1994,bparandu@hotmail.com
3337,18021,1980,nanuva03@yahoo.com.ar
3813,18021,1998,bibliotevaperon@arnet.com.ar
4165,18021,1980,coembapora@yahoo.com.ar
4307,18021,1996,bibliotecaescritorescorrentinos@hotmail.com
4202,18028,1980,bpcbobsin@hotmail.com
4104,18028,2004,bibliopopfm@hotmail.com
517,18035,1914,acyacbpr@gmail.com
3078,18035,1986,cuatiarenda_@hotmail.com
501,18070,1911,bpsarmientogoya@gmail.com
1957,18056,1936,bibliotecapopularalvear@hotmail.com
502,18063,1914,bibliotecapopularrivera@hotmail.com
3472,18063,1995,bpleamosjuntos2010@hotmail.com
509,18105,1910,literariabelgrano@gmail.com
1530,18105,1909,bibliotecasarmientomercedes@gmail.com
2595,18105,1940,bp2595@gmail.com
506,18112,1909,biblio506@hotmail.com
2171,18112,1936,bibliotecalainez@hotmail.com
511,18119,1904,bsarmiento@arnet.com.ar
3375,18119,1980,bibliotecapopularpasolibres@hotmail.com
4088,18119,2002,bpramonbarboza@hotmail.com
3757,18133,1998,bipsancosme@gmail.com
3285,18140,1916,bp3285@bepe.ar
2970,18168,1967,bibliotecavnc@cableat.net
512,18168,1980,biblioteca512@hotmail.com
4239,30008,1997,bibliotecaarroyobaru@hotmail.com
1251,30008,1905,fabricacolon@hotmail.com
387,30008,1904,biburquiza@yahoo.com.ar
3482,30008,1996,freddimartin@hotmail.com
381,30008,1904,bpgmitre@yahoo.com.ar
3589,30015,1996,biblioteca3589@hotmail.com
334,30021,1980,biblioteca_ramirez@yahoo.com.ar
4378,30021,2018,bibliotecaestacionpuiggari@gmail.com
385,30028,1909,bibliotecapopularurquiza@multichajari.com.ar 
4355,30028,2007,bipo_sabe@outlook.com
4396,30035,1940,bernardi.bibliotecapopular@gmail.com
382,30035,1912,bibliofederal@hotmail.com
